Designator,Mid X,Mid Y,Rotation,Layer
C1,128.5,-101.5,0.0,top
C2,132.6,-103.8,0.0,top
C3,137.2,-101.4,0.0,top
C4,111.75,-102.5,0.0,top
C5,116.75,-102.5,180.0,top
C6,112.5,-92.6,180.0,top
C7,112.5,-94.4,180.0,top
J1,122.725,-114.475,270.0,top
J2,137.0,-88.0,90.0,top
J3,113.25,-88.0,90.0,top
Q1,132.75,-100.425,270.0,top
R1,128.5,-103.8,0.0,top
R11,120.1,-96.8,0.0,top
R2,128.5,-108.4,0.0,top
R3,136.4,-104.525,90.0,top
R4,128.5,-99.25,0.0,top
R5,131.8,-106.825,90.0,top
R6,128.5,-106.1,180.0,top
R7,136.4,-98.475,90.0,top
R8,117.5,-105.525,90.0,top
R9,111.0,-105.525,90.0,top
RF1,111.75,-100.49,0.0,top
RS1,116.75,-100.49,0.0,top
U1,111.75,-97.5,90.0,top
U2,116.75,-97.5,90.0,top
